Section,Lon,Lat,NZE,NZN
North Island,176.01601,-37.641,2776379.553,6391451.435
North Island,176.05099,-37.647,2779441.995,6390680.902
North Island,176.05,-37.681,2779225.598,6386912.854
North Island,176.07899,-37.669,2781827.076,6388155.917
North Island,176.09599,-37.699,2783210.324,6384776.665
North Island,176.149,-37.673,2787983.783,6387496.731
North Island,176.166,-37.688,2789423.44,6385780.058
North Island,176.15601,-37.725,2788397.743,6381707.61
North Island,176.18201,-37.729,2790672.408,6381182.619
North Island,176.233,-37.706,2795256.47,6383572.061
North Island,176.185,-37.697,2791062.469,6384722.289
North Island,176.186,-37.671,2791253.541,6387602.756
North Island,176.19099,-37.651,2791772.759,6389805.198
North Island,176.26199,-37.692,2797867.662,6385031.845
North Island,176.34,-37.728,2804593.614,6380785.367
North Island,176.42101,-37.756,2811610.716,6377410.406
North Island,176.422,-37.767,2811651.219,6376187.17
North Island,176.478,-37.759,2816615.79,6376884.258
North Island,176.48599,-37.779,2817232.894,6374638.933
North Island,176.554,-37.818,2823047.562,6370078.649
North Island,176.68401,-37.868,2834256.854,6364072.134
North Island,176.772,-37.897,2841856.661,6360534.78
North Island,176.881,-37.922,2851314.684,6357354.202
North Island,176.985,-37.947,2860326.768,6354182.037
North Island,176.995,-37.959,2861145.638,6352812.472
North Island,177.039,-37.975,2864928.649,6350865.675
North Island,177.127,-37.994,2872555.595,6348408.099
North Island,177.097,-37.997,2869908.068,6348195.92
North Island,177.06,-38.016,2866566.373,6346236.62
North Island,177.08701,-38.015,2868940.738,6346240.063
North Island,177.12,-38.037,2871722.797,6343668.649
North Island,177.129,-38.031,2872542.604,6344297.673
North Island,177.15199,-38,2874717.601,6347641.871
North Island,177.216,-38.003,2880317.977,6347047.9
North Island,177.265,-38.024,2884506.364,6344516.953
North Island,177.341,-37.998,2891310.864,6347080.645
North Island,177.451,-37.971,2901109.26,6349602.606
North Island,177.517,-37.934,2907107.123,6353415.99
North Island,177.55901,-37.889,2911048.088,6358218.738
North Island,177.62199,-37.879,2916638.046,6359045.502
North Island,177.60001,-37.846,2914893.383,6362802.455
North Island,177.634,-37.819,2918035.1,6365642.477
North Island,177.673,-37.761,2921797.672,6371894.86
North Island,177.709,-37.723,2925185.652,6375942.402
North Island,177.77299,-37.688,2931025,6379526.081
North Island,177.83099,-37.676,2936205.29,6380584.514
North Island,177.862,-37.673,2938955.212,6380770.45
North Island,177.912,-37.631,2943613.448,6385187.406
North Island,177.979,-37.595,2949739.375,6388854.324
North Island,177.985,-37.552,2950531.311,6393591.111
North Island,178.05299,-37.554,2956518.596,6393036.461
North Island,178.133,-37.559,2963547.084,6392084.824
North Island,178.187,-37.553,2968349.587,6392478.066
North Island,178.25999,-37.564,2974718.941,6390887.313
North Island,178.291,-37.58,2977350.956,6388954.743
North Island,178.312,-37.61,2979008.02,6385521.689
North Island,178.327,-37.635,2980167.396,6382673.513
North Island,178.39101,-37.64,2985775.602,6381785.47
North Island,178.46201,-37.649,2991972.041,6380413.186
North Island,178.52901,-37.686,2997624.926,6375955.094
North Island,178.51199,-37.739,2995768.608,6370173.636
North Island,178.457,-37.787,2990608.821,6365147.859
North Island,178.465,-37.799,2991232.078,6363775.679
North Island,178.424,-37.856,2987248.33,6357676.205
North Island,178.38,-37.93,2982894.582,6349706.657
North Island,178.368,-37.976,2981538.667,6344671.657
North Island,178.328,-38.019,2977748.932,6340113.957
North Island,178.36,-38.083,2980133.852,6332855.717
North Island,178.30901,-38.134,2975335.328,6327467.425
North Island,178.33701,-38.196,2977380.409,6320452.1
North Island,178.302,-38.245,2973999.658,6315202.024
North Island,178.336,-38.301,2976604.62,6308820.899
North Island,178.323,-38.341,2975207.941,6304454.9
North Island,178.302,-38.389,2973062.466,6299243.059
North Island,178.32201,-38.439,2974481.174,6293598.974
North Island,178.274,-38.497,2969920.386,6287416.48
North Island,178.26401,-38.554,2968681.537,6281149.824
North Island,178.203,-38.595,2963109.307,6276913.684
North Island,178.16901,-38.634,2959904.69,6272761.037
North Island,178.123,-38.662,2955728.025,6269885.884
North Island,178.062,-38.706,2950152.365,6265308.352
North Island,178.008,-38.685,2945591.472,6267898.502
North Island,177.927,-38.718,2938353.37,6264628.728
North Island,177.93201,-38.757,2938551.502,6260281.575
North Island,177.937,-38.786,2938808.222,6257043.021
North Island,177.911,-38.838,2936237.512,6251401.92
North Island,177.899,-38.9,2934822.528,6244585.362
North Island,177.89101,-38.971,2933701.989,6236751.82
North Island,177.884,-39.063,2932540.775,6226585.178
North Island,177.942,-39.106,2937291.641,6221543.744
